Code;Libellé;Médiane du revenu disponible par UC 2020
2424;Leury;22120
2425;Leuze;19120
2426;Levergies;22330
2427;Lhuys;20720
2428;Licy-Clignon;N/A - résultat non disponible
2429;Lierval;23440
2430;Liesse-Notre-Dame;19850
2431;Liez;21480
2432;Limé;21250
2433;Lislet;20390
2435;Logny-lès-Aubenton;N/A - résultat non disponible
2438;Longpont;23940
2439;Les Septvallons;20690
2440;Lor;19530
2441;Louâtre;24300
2442;Loupeigne;N/A - résultat non disponible
2443;Lucy-le-Bocage;25460
2444;Lugny;20040
2445;Luzoir;21870
2446;Ly-Fontaine;22620
2447;Maast-et-Violaine;18950
2448;Mâchecourt;21570
2449;Macogny;N/A - résultat non disponible
2450;Macquigny;17270
2451;Magny-la-Fosse;19120
2452;Maissemy;22490
2453;Maizy;21890
2454;La Malmaison;20650
2455;Malzy;21420
2456;Manicamp;19660
2457;Marchais;19120
2458;Dhuys et Morin-en-Brie;22470
2459;Marcy;26220
2460;Marcy-sous-Marle;19680
2461;Marest-Dampcourt;22060
2462;Mareuil-en-Dôle;21750
2463;Marfontaine;N/A - résultat non disponible
2464;Margival;22040
2465;Marigny-en-Orxois;22950
2466;Marizy-Sainte-Geneviève;22870
2467;Marizy-Saint-Mard;N/A - résultat non disponible
2468;Marle;17930
2469;Marly-Gomont;18500
2470;Martigny;19020
2471;Martigny-Courpierre;22620
2472;Mauregny-en-Haye;20520
2473;Mayot;20040
2474;Mennessis;22430
2476;Mennevret;18020
2477;Mercin-et-Vaux;24220
2478;Merlieux-et-Fouquerolles;21570
2480;Mesbrecourt-Richecourt;22100
2481;Mesnil-Saint-Laurent;29000
2482;Meurival;N/A - résultat non disponible
2483;Mézières-sur-Oise;22700
2484;Mézy-Moulins;21540
2485;Missy-aux-Bois;N/A - résultat non disponible
2486;Missy-lès-Pierrepont;N/A - résultat non disponible
2487;Missy-sur-Aisne;22580
2488;Molain;20190
2489;Molinchart;24990
2490;Monampteuil;27750
2491;Monceau-le-Neuf-et-Faucouzy;19180
2492;Monceau-lès-Leups;20990
2493;Monceau-le-Waast;21160
2494;Monceau-sur-Oise;22130
2495;Mondrepuis;20400
2496;Monnes;23090
2497;Mons-en-Laonnois;23260
2498;Montaigu;21100
2499;Montbavin;N/A - résultat non disponible
2500;Montbrehain;19000
2501;Montchâlons;N/A - résultat non disponible
2502;Montcornet;17200
2503;Mont-d'Origny;18970
2504;Montescourt-Lizerolles;20440
2505;Montfaucon;22980
2506;Montgobert;24990
2507;Montgru-Saint-Hilaire;N/A - résultat non disponible
2508;Monthenault;23140
2509;Monthiers;22510
2510;Monthurel;24030
2511;Montigny-en-Arrouaise;19490
2512;Montigny-l'Allier;22610
2513;Montigny-le-Franc;21030
2514;Montigny-Lengrain;21560
2515;Montigny-lès-Condé;N/A - résultat non disponible
2516;Montigny-sous-Marle;N/A - résultat non disponible
2517;Montigny-sur-Crécy;19540
2518;Montlevon;21920
2519;Montloué;16300
2520;Mont-Notre-Dame;21860
2521;Montreuil-aux-Lions;23700
2522;Mont-Saint-Jean;N/A - résultat non disponible
2523;Mont-Saint-Martin;N/A - résultat non disponible
2524;Mont-Saint-Père;23140
2525;Morcourt;24280
2526;Morgny-en-Thiérache;N/A - résultat non disponible
2527;Morsain;22510
2528;Mortefontaine;23800
2529;Mortiers;20900
2530;Moulins;N/A - résultat non disponible
2531;Moussy-Verneuil;22030
2532;Moÿ-de-l'Aisne;22290
2533;Muret-et-Crouttes;23840
2534;Muscourt;N/A - résultat non disponible
2535;Nampcelles-la-Cour;20730
2536;Nampteuil-sous-Muret;N/A - résultat non disponible
2537;Nanteuil-la-Fosse;21940
2538;Nanteuil-Notre-Dame;N/A - résultat non disponible
2539;Nauroy;20790
2540;Nesles-la-Montagne;23350
2541;Neufchâtel-sur-Aisne;22580
2542;Neuflieux;N/A - résultat non disponible
2543;Neuilly-Saint-Front;20380
2544;Neuve-Maison;19290
2545;La Neuville-Bosmont;20850
